SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
040,55,000,00000,00000,00000,0,A,Wisconsin,Wisconsin,5686986,5687285,5690475,5705288,5719960,5736754,5751525,5760940,5772628,5790186,5807406,5822434
162,55,000,00100,00000,00000,0,A,Abbotsford city,Wisconsin,2310,2301,2299,2301,2275,2278,2264,2250,2245,2248,2253,2233
162,55,000,00275,00000,00000,0,A,Adams city,Wisconsin,1967,1972,1972,1952,1924,1917,1888,1878,1877,1867,1890,1893
162,55,000,00450,00000,00000,0,A,Adell village,Wisconsin,516,521,521,519,516,520,519,520,519,515,513,512
162,55,000,00750,00000,00000,0,A,Albany village,Wisconsin,1018,1018,1018,1014,1010,1013,1007,1006,998,1000,995,993
162,55,000,01000,00000,00000,0,A,Algoma city,Wisconsin,3167,3172,3166,3145,3139,3103,3087,3073,3076,3058,3046,3048
162,55,000,01150,00000,00000,0,A,Allouez village,Wisconsin,13975,13977,13980,13954,13952,13939,13913,13877,13838,13901,13891,13894
162,55,000,01225,00000,00000,0,A,Alma city,Wisconsin,781,778,776,767,760,757,746,744,716,731,726,719
162,55,000,01300,00000,00000,0,A,Alma Center village,Wisconsin,503,503,503,505,501,501,498,495,493,491,489,493
162,55,000,01325,00000,00000,0,A,Almena village,Wisconsin,677,677,676,676,671,667,663,660,655,650,647,641
162,55,000,01400,00000,00000,0,A,Almond village,Wisconsin,448,449,448,447,445,443,441,440,436,434,433,432
162,55,000,01550,00000,00000,0,A,Altoona city,Wisconsin,6706,6714,6726,6796,6936,7081,7180,7336,7502,7669,7773,7870
162,55,000,01725,00000,00000,0,A,Amery city,Wisconsin,2902,2932,2928,2906,2888,2860,2857,2829,2832,2830,2806,2812
162,55,000,01750,00000,00000,0,A,Amherst village,Wisconsin,1035,1037,1038,1037,1039,1036,1043,1038,1044,1045,1048,1045
162,55,000,01800,00000,00000,0,A,Amherst Junction village,Wisconsin,377,377,377,376,375,372,371,370,370,380,377,383
162,55,000,02075,00000,00000,0,A,Aniwa village,Wisconsin,260,262,262,260,259,256,255,253,252,252,251,249
162,55,000,02250,00000,00000,0,A,Antigo city,Wisconsin,8234,8228,8215,8112,8016,7913,7836,7775,7779,7782,7803,7767
162,55,000,02375,00000,00000,0,A,Appleton city,Wisconsin,72623,72675,72704,72921,73128,73591,74001,74151,74392,74524,74378,74098
162,55,000,02500,00000,00000,0,A,Arcadia city,Wisconsin,2925,2946,2945,2948,2956,2971,2948,2990,3044,3037,3036,3040
162,55,000,02550,00000,00000,0,A,Arena village,Wisconsin,834,834,834,828,825,823,823,823,815,826,828,827
